iter	Logloss
0	0.6849783138
1	0.6765966814
2	0.6695184607
3	0.6617437023
4	0.6538085824
5	0.6466983
6	0.639432543
7	0.6324121914
8	0.6252401451
9	0.6187662194
10	0.6114301865
11	0.6043392097
12	0.5988335194
13	0.592742411
14	0.5864402955
15	0.5805454253
16	0.5749034664
17	0.5691701868
18	0.5638181472
19	0.5581338305
20	0.5529910308
21	0.5473604959
22	0.5430426216
23	0.5380292564
24	0.5326489679
25	0.5277116635
26	0.522977139
27	0.5181561642
28	0.5136338973
29	0.5093076873
30	0.5049076363
31	0.5004157045
32	0.4957655276
33	0.4917396776
34	0.4872510621
35	0.4836299729
36	0.4796625289
37	0.4761925685
38	0.4723470972
39	0.468543669
40	0.4645147283
41	0.4608578089
42	0.4569196563
43	0.4541721903
44	0.4507259957
45	0.4470134442
46	0.4442137966
47	0.440654455
48	0.4374911657
49	0.4342904835
50	0.4306275426
51	0.4278462101
52	0.4245441466
53	0.4215851823
54	0.418854103
55	0.4158791679
56	0.4131795267
57	0.4099429334
58	0.4073053163
59	0.4044698316
60	0.4021115615
61	0.3991501162
62	0.3961407841
63	0.3936950558
64	0.3907963414
65	0.3881018987
66	0.3856305194
67	0.3829573643
68	0.3814164046
69	0.3790414903
70	0.3763921538
71	0.3742701229
72	0.3717719855
73	0.369541175
74	0.3670100035
75	0.3648364254
76	0.3626628606
77	0.3607309544
78	0.3583454451
79	0.3564132717
80	0.3545263705
81	0.3525829467
82	0.3505488084
83	0.3486816132
84	0.3464313723
85	0.3444786405
86	0.342509303
87	0.3405884297
88	0.3385280181
89	0.3368982673
90	0.3355420429
91	0.3334965091
92	0.3316198575
93	0.329954582
94	0.3278261302
95	0.3260128024
96	0.3242772861
97	0.3225879133
98	0.3205672519
99	0.3190081343
100	0.3174466496
101	0.3157113523
102	0.3138422027
103	0.3122844071
104	0.3108011153
105	0.3090687482
106	0.3075738521
107	0.3060707916
108	0.3045357176
109	0.3030542442
110	0.3018391517
111	0.3004483871
112	0.2988766731
113	0.2974710736
114	0.2959724494
115	0.2944020355
116	0.2930628831
117	0.2917778589
118	0.290402325
119	0.2889639871
120	0.2874809922
121	0.2860199465
122	0.2845793242
123	0.2831560331
124	0.282073682
125	0.2807835313
126	0.2794831075
127	0.2783728838
128	0.2775149577
129	0.2763360438
130	0.2751298078
131	0.27385818
132	0.2725564788
133	0.2711414808
134	0.2698511431
135	0.2691230854
136	0.267818232
137	0.2667592309
138	0.2657007869
139	0.2645730751
140	0.2635405952
141	0.2626178482
142	0.2614546173
143	0.2605587889
144	0.2594264234
145	0.2583353372
146	0.2572542363
147	0.2561549773
148	0.2551856825
149	0.2542200234
150	0.2530547302
151	0.2519478598
152	0.2508983142
153	0.2499656659
154	0.2490302798
155	0.2482479107
156	0.2473166566
157	0.2463776182
158	0.2453266186
159	0.2444987042
160	0.2435800069
161	0.2427753735
162	0.2417975662
163	0.2408196717
164	0.2397927044
165	0.2386245973
166	0.2376827307
167	0.2366471638
168	0.2358711064
169	0.2351193558
170	0.2342758974
171	0.2332849516
172	0.2324361576
173	0.2314260963
174	0.2306446376
175	0.2300690089
176	0.2294009441
177	0.2286025221
178	0.2277839358
179	0.2267703688
180	0.2260914399
181	0.2253408532
182	0.2246934643
183	0.2239406486
184	0.2232103596
185	0.2223734264
186	0.2217023498
187	0.2211663914
188	0.2205187101
189	0.2196619239
190	0.2189423626
191	0.218308853
192	0.2176287815
193	0.216929702
194	0.21619881
195	0.2154637049
196	0.2148919373
197	0.2141990624
198	0.2134327694
199	0.2127879081
200	0.2121150893
201	0.2115520797
202	0.2108452319
203	0.210217859
204	0.2095824065
205	0.2088779886
206	0.208124836
207	0.2075704463
208	0.2069635657
209	0.2062853953
210	0.205628155
211	0.2051952828
212	0.2046455886
213	0.2040439881
214	0.2033564891
215	0.2027661956
216	0.2021833011
217	0.2016740673
218	0.2010994292
219	0.2003531858
220	0.1996927469
221	0.199064151
222	0.1984523353
223	0.1978573732
224	0.1971280737
225	0.1964982617
226	0.1959028641
227	0.195151089
228	0.1944810903
229	0.1938987415
230	0.1934147283
231	0.1928278364
232	0.1921651652
233	0.1916446805
234	0.1913806841
235	0.1911008431
236	0.1905766321
237	0.1900278963
238	0.1894547696
239	0.189032811
240	0.188576261
241	0.1881195955
242	0.1875951461
243	0.1870483682
244	0.1866060578
245	0.186127264
246	0.1856095179
247	0.185143924
248	0.1845668448
249	0.1840446803
250	0.1835288937
251	0.1831172322
252	0.1826393386
253	0.1822116458
254	0.1816921155
255	0.1813329679
256	0.1807652167
257	0.1802778713
258	0.1797452335
259	0.1792809253
260	0.1786701649
261	0.1782885649
262	0.1776831459
263	0.1771267225
264	0.1766568024
265	0.1762679725
266	0.175897047
267	0.1754996693
268	0.1752934766
269	0.1749613152
270	0.1744849991
271	0.1740918734
272	0.1737232976
273	0.1733464838
274	0.1729546626
275	0.1722774999
276	0.1718555174
277	0.1714525399
278	0.1710634617
279	0.1705774227
280	0.1702615336
281	0.1698636474
282	0.1694670783
283	0.169152911
284	0.1687998978
285	0.16825185
286	0.1678508809
287	0.1673709697
288	0.1670029488
289	0.1664915443
