iter	Passed	Remaining
0	4	1228
1	8	1178
2	12	1174
3	16	1196
4	21	1202
5	25	1198
6	26	1081
7	30	1064
8	33	1056
9	37	1056
10	41	1049
11	45	1045
12	48	1039
13	52	1037
14	56	1035
15	60	1029
16	64	1028
17	65	988
18	69	985
19	72	984
20	76	980
21	80	977
22	83	973
23	87	973
24	91	973
25	95	973
26	99	972
27	103	970
28	108	975
29	112	975
30	116	975
31	120	974
32	125	975
33	129	975
34	133	975
35	137	973
36	142	973
37	146	971
38	150	970
39	155	968
40	159	967
41	163	967
42	167	964
43	172	962
44	176	961
45	180	958
46	185	956
47	187	945
48	191	942
49	195	940
50	200	937
51	204	936
52	208	933
53	213	931
54	217	929
55	221	927
56	226	924
57	230	921
58	234	917
59	238	915
60	243	912
61	247	909
62	251	907
63	255	903
64	260	900
65	264	896
66	268	893
67	272	890
68	273	876
69	277	872
70	281	868
71	297	900
72	302	898
73	307	896
74	311	892
75	315	888
76	319	885
77	324	881
78	328	876
79	332	873
80	336	869
81	341	865
82	345	861
83	349	856
84	353	853
85	357	848
86	362	844
87	366	840
88	370	836
89	374	832
90	379	829
91	383	825
92	387	821
93	391	817
94	395	812
95	400	808
96	404	805
97	409	802
98	414	798
99	417	793
100	422	789
101	425	785
102	429	780
103	434	776
104	438	772
105	442	767
106	472	807
107	479	808
108	486	808
109	492	805
110	497	802
111	502	798
112	506	793
113	511	789
114	515	784
115	520	780
116	524	775
117	529	771
118	533	766
119	538	762
120	542	757
121	546	752
122	550	747
123	554	742
124	558	737
125	563	732
126	567	727
127	570	721
128	574	717
129	578	712
130	583	708
131	587	703
132	592	699
133	597	695
134	601	690
135	603	683
136	607	678
137	611	673
138	615	668
139	619	664
140	624	659
141	628	655
142	632	650
143	637	645
144	641	641
145	645	636
146	650	632
147	664	637
148	669	633
149	673	628
150	677	623
151	681	618
152	685	613
153	689	609
154	694	604
155	698	599
156	702	595
157	707	590
158	711	585
159	715	581
160	719	576
161	723	572
162	728	567
163	732	562
164	736	558
165	740	553
166	745	548
167	749	544
168	753	539
169	757	534
170	761	530
171	766	525
172	770	520
173	777	518
174	781	513
175	785	508
176	789	504
177	794	499
178	798	495
179	803	490
180	807	486
181	811	481
182	816	477
183	820	472
184	824	468
185	829	463
186	833	459
187	835	453
188	839	448
189	843	443
190	847	439
191	851	434
192	856	430
193	860	425
194	864	421
195	869	416
196	873	412
197	877	407
198	881	403
199	885	398
200	890	394
201	894	389
202	898	384
203	902	380
204	907	376
205	910	371
206	914	366
207	918	362
208	922	357
209	926	352
210	930	348
211	934	343
212	938	339
213	941	334
214	945	329
215	949	325
216	952	320
217	956	315
218	960	311
219	964	306
220	968	302
221	971	297
222	975	293
223	979	288
224	983	284
225	986	279
226	990	274
227	994	270
228	998	265
229	1002	261
230	1006	257
231	1010	252
232	1015	248
233	1019	243
234	1024	239
235	1028	235
236	1032	230
237	1036	226
238	1040	221
239	1044	217
240	1048	213
241	1053	208
242	1067	206
243	1076	202
244	1081	198
245	1085	194
246	1089	189
247	1094	185
248	1098	180
249	1102	176
250	1107	172
251	1111	167
252	1115	163
253	1120	158
254	1124	154
255	1128	149
256	1133	145
257	1137	141
258	1141	136
259	1145	132
260	1149	127
261	1154	123
262	1158	118
263	1162	114
264	1167	110
265	1171	105
266	1176	101
267	1180	96
268	1184	92
269	1187	87
270	1191	83
271	1195	79
272	1199	74
273	1203	70
274	1208	65
275	1212	61
276	1216	57
277	1221	52
278	1225	48
279	1230	43
280	1234	39
281	1238	35
282	1242	30
283	1247	26
284	1251	21
285	1255	17
286	1259	13
287	1263	8
288	1268	4
289	1281	0
